"pcp-dstat 6.3.7 CSV Output"
"Author:","PCP team <pcp@groups.io> and Dag Wieers <dag@wieers.com>",,,,"URL:","https://pcp.io/ and http://dag.wieers.com/home-made/dstat/"
"Host:","server1",,,,"User:","admin"
"Cmdline:","dstat -cdnmg --top-cpu --top-io --top-mem --output dstat.csv 3",,,,"Date:","02 Jul 2025 17:19:20 UTC"
"total usage",,,,,"dsk/total",,"net/total",,"memory usage",,,,"paging",,"most expensive cpu process",,"most expensive I/O process",,,"most expensive memory process",
"total usage:usr","total usage:sys","total usage:idl","total usage:wai","total usage:stl","dsk/total:read","dsk/total:writ","net/total:recv","net/total:send","used","free","buf","cach","in","out","cmd","cpu","cmd","read","write","cmd","rss"
,,,7985744,6397444,2916,1600064,,,,,"Core app process",742152
1.000,0.250,97.971,0,3.749,0,0,23296.218,70451.491,7984076,6399020,2916,1600076,0,0,"Core app process",0.500,"python3",42873.519,290.915,"Core app process",741544
2.000,0.500,97.253,0,1.000,0,0,41977.363,147674.796,7983572,6399524,2916,1600076,0,0,"Core app process",0.500,"python3",42890.393,289.009,"Core app process",742028
1.000,0.250,98.255,0,3.000,0,0,21239.015,79107.782,7983068,6400028,2916,1600076,0,0,"docker-proxy",0.500,"python3",42899.051,282.013,"Core app process",741764
1.750,0.500,97.502,0,0.500,0,0,35274.882,109934.748,7983824,6399272,2916,1600076,0,0,"Core app process",0.500,"python3",42887.072,282.007,"Core app process",741808
6.998,0.250,92.222,0,4.749,0,0,21144.547,64241.395,7985080,6398012,2916,1600080,0,0,"Pronghorn Autom",6.248,"python3",42876.915,281.914,"Core app process",742960
0.750,0.250,98.249,0,4.000,0,0,23501.849,67105.568,7987852,6395240,2916,1600080,0,0,"Core app process",0.250,"python3",42883.724,290.998,"Core app process",741452
1.000,0.750,97.522,0,1.250,0,0,40965.167,146878.869,7986844,6396248,2916,1600080,0,0,"db",0.500,"python3",42904.601,282.063,"Core app process",742156
1.000,0.500,98.247,0,2.000,0,0,24455.201,75783.525,7985332,6397760,2916,1600080,0,0,"memory cache",0.500,"python3",42897.599,281.991,"Core app process",742140
